"","country","continent","iso_alpha","iso_num","cntry_col","cntnt_col","iso2c","variable","measurement"
"100","Nicaragua","Americas","NIC",558,"#FDAE61","#7F3B08","NI","ad_unemp",7.10059976577759
"101","Niger","Africa","NER",562,"#C5690B","#276419","NE","ad_unemp",7.29460000991821
"102","Nigeria","Africa","NGA",566,"#7F3B08","#7F3B08","NG","ad_unemp",13.6892995834351
"103","North Macedonia","Europe",NA,NA,NA,NA,"MK","ad_unemp",17.8218002319336
"104","Norway","Europe","NOR",578,"#B9E188","#40004B","NO","ad_unemp",2.32410001754761
"105","Pakistan","Asia","PAK",586,"#540F60","#7F3B08","PK","ad_unemp",7.14919996261597
"106","Panama","Americas","PAN",591,"#FDCF80","#313695","PA","ad_unemp",3.20580005645752
"107","Papua New Guinea","Oceania",NA,NA,NA,NA,"PG","ad_unemp",2.38280010223389
"108","Paraguay","Americas","PRY",600,"#FBA35B","#313695","PY","ad_unemp",2.76220011711121
"109","Peru","Americas","PER",604,"#D73027","#276419","PE","ad_unemp",4.80819988250732
"110","Philippines","Asia","PHL",608,"#681F75","#276419","PH","ad_unemp",7.51000022888184
"111","Poland","Europe","POL",616,"#468A1F","#A50026","PL","ad_unemp",2.00799989700317
"112","Portugal","Europe","PRT",620,"#66A731","#A50026","PT","ad_unemp",5.37559986114502
"113","Qatar","Asia",NA,NA,NA,NA,"QA","ad_unemp",0.569999992847443
"114","Romania","Europe","ROU",642,"#4B9020","#40004B","RO","ad_unemp",2.13879990577698
"115","Russia","Europe",NA,NA,NA,NA,"RU","ad_unemp",4.78889989852905
"116","Rwanda","Africa","RWA",646,"#E58C23","#276419","RW","ad_unemp",19.539400100708
"117","Samoa","Oceania",NA,NA,NA,NA,"WS","ad_unemp",7.66569995880127
"118","Saudi Arabia","Asia","SAU",682,"#905EA1","#A50026","SA","ad_unemp",10.6499996185303
"119","Senegal","Africa","SEN",686,"#D0730F","#A50026","SN","ad_unemp",17.8264999389648
"120","Serbia","Europe","SRB",688,"#74B33A","#276419","RS","ad_unemp",10.8207998275757
"121","Seychelles","Africa",NA,NA,NA,NA,"SC","ad_unemp",3.2195999622345
"122","Sierra Leone","Africa","SLE",694,"#EC9936","#A50026","SL","ad_unemp",11.520299911499
"123","Singapore","Asia","SGP",702,"#CBB0D5","#276419","SG","ad_unemp",4.11999988555908
"124","Slovak Republic","Europe","SVK",703,"#AAD875","#7F3B08","SK","ad_unemp",3.0757999420166
"125","Slovenia","Europe","SVN",705,"#D9EFBB","#40004B","SI","ad_unemp",3.62459993362427
"126","Solomon Islands","Oceania",NA,NA,NA,NA,"SB","ad_unemp",0.455799996852875
"127","South Africa","Africa","ZAF",710,"#8F4407","#313695","ZA","ad_unemp",12.0328998565674
"128","Spain","Europe","ESP",724,"#41831E","#7F3B08","ES","ad_unemp",8.90970039367676
"129","Sri Lanka","Asia","LKA",144,"#AD8ABD","#40004B","LK","ad_unemp",6.21570014953613
"130","Sudan","Africa","SDN",736,"#934607","#7F3B08","SD","ad_unemp",35.1839981079102
"131","Sweden","Europe","SWE",752,"#82BE45","#7F3B08","SE","ad_unemp",3.5764000415802
"132","Switzerland","Europe","CHE",756,"#9ACD62","#276419","CH","ad_unemp",3.47679996490479
"133","Tajikistan","Asia",NA,NA,NA,NA,"TJ","ad_unemp",5.50549983978271
"134","Tanzania","Africa","TZA",834,"#974807","#A50026","TZ","ad_unemp",5.00010013580322
"135","Thailand","Asia","THA",764,"#7A3288","#A50026","TH","ad_unemp",1.57889997959137
"136","Timor-Leste","Asia",NA,NA,NA,NA,"TL","ad_unemp",6.13969993591309
"137","Togo","Africa","TGO",768,"#F1A142","#276419","TG","ad_unemp",8.22729969024658
"138","Trinidad and Tobago","Americas","TTO",780,"#FEE090","#A50026","TT","ad_unemp",2.1603000164032
"139","Tunisia","Africa","TUN",788,"#DA7D12","#313695","TN","ad_unemp",30.2450008392334
"140","Turkey","Europe","TUR",792,"#2C6A1A","#A50026","TR","ad_unemp",12.1891002655029
